system,year,day,depth,measured_mean,measured_std,simulated_mean,simulated_std
soil_core,1995,,15,1.6376666666666668,0.7939530632642379,1.8493970314642223,0.6054230964336764
soil_core,1995,,30,1.522,0.6256612501985398,0.9964214953763291,0.2286289346334184
soil_core,1995,,45,0.4861666666666667,0.5437923929834498,0.38816023569399327,0.15581403546468273
soil_core,1995,,60,0.4808333333333333,0.49947549155756055,0.28949270279661415,0.11423088195530662
soil_core,1995,,75,0.5431666666666667,0.4491482680214482,0.2810708959493025,0.1024449204792039
soil_core,1995,,90,0.2518333333333333,0.19882999438381188,0.22222821354017155,0.09294885229955555
soil_core,1995,,105,0.0715,0.0318040877875785,0.09926847296161613,0.0683673188768566
soil_core,1995,,120,0.068,0.06849233533761277,0.017894182287296372,0.02510759505755219
minirhizo,1995,172.0,35,1.425,1.3695466018857634,1.25,0.8779711460710616
minirhizo,1995,172.0,40,0.8,0.9090191359227175,0.7083333333333334,0.4876958296133177
minirhizo,1995,172.0,45,0.45,0.7236602866858977,0.2916666666666667,0.1717960677340692
minirhizo,1995,172.0,50,0.625,0.455232734000163,0.75,0.7772815877574012
minirhizo,1995,172.0,55,0.725,0.6584471365105534,0.7083333333333334,0.5286907308520633
minirhizo,1995,172.0,60,0.55,0.6261830907633124,0.6666666666666666,0.74535599249993
minirhizo,1995,172.0,65,0.2,0.49736145915484004,0.375,0.375
minirhizo,1995,172.0,70,0.25,0.4442616583193193,0.16666666666666666,0.1863389981249825
minirhizo,1995,172.0,75,0.1,0.3077935056255462,0.041666666666666664,0.09316949906249124
minirhizo,1995,172.0,80,0.1,0.4472135954999579,0.041666666666666664,0.09316949906249125
minirhizo,1995,172.0,85,0.0,0.0,0.041666666666666664,0.09316949906249125
minirhizo,1995,172.0,90,0.125,0.31933318682925255,0.0,0.0
minirhizo,1995,172.0,95,0.0,0.0,0.0,0.0
minirhizo,1995,172.0,100,0.0,0.0,0.0,0.0
minirhizo,1995,172.0,105,0.0,0.0,0.0,0.0
minirhizo,1995,172.0,110,0.0,0.0,0.0,0.0
minirhizo,1995,172.0,115,0.0,0.0,0.0,0.0
minirhizo,1995,172.0,120,0.1,0.3077935056255462,0.0,0.0
minirhizo,1995,191.0,35,0.8541666666666666,1.1080649669647051,1.375,0.986893273527251
minirhizo,1995,191.0,40,1.0833333333333333,1.017954755408103,0.75,0.45643546458763845
minirhizo,1995,191.0,45,1.0208333333333333,0.9833302628298906,0.2916666666666667,0.1717960677340692
minirhizo,1995,191.0,50,0.875,1.0859778202555321,0.7916666666666666,0.755764881134044
minirhizo,1995,191.0,55,1.2727272727272727,1.4938546554473535,0.7916666666666666,0.6023680122833733
minirhizo,1995,191.0,60,1.4791666666666667,1.4631648742624197,1.0416666666666667,0.834374349770866
minirhizo,1995,191.0,65,2.0476190476190474,3.142072412854142,0.5833333333333334,0.5527707983925666
minirhizo,1995,191.0,70,1.2391304347826086,1.223534050659208,0.375,0.3145764348029479
minirhizo,1995,191.0,75,0.8,0.6766791978789545,0.20833333333333334,0.22438186696393767
minirhizo,1995,191.0,80,0.4782608695652174,0.7458713767613936,0.08333333333333333,0.11785113019775792
minirhizo,1995,191.0,85,0.7083333333333334,1.1025333147551268,0.08333333333333333,0.1863389981249825
minirhizo,1995,191.0,90,0.8125,1.1402945843642487,0.125,0.19094065395649334
minirhizo,1995,191.0,95,0.2916666666666667,0.5500329370901873,0.0,0.0
minirhizo,1995,191.0,100,0.25,0.44232586846469146,0.0,0.0
minirhizo,1995,191.0,105,0.10416666666666667,0.2544886888520258,0.0,0.0
minirhizo,1995,191.0,110,0.25,0.6756639246921763,0.0,0.0
minirhizo,1995,191.0,115,0.25,0.7372097807744857,0.0,0.0
minirhizo,1995,191.0,120,0.20833333333333334,0.6580053301400784,0.0,0.0
minirhizo,1995,220.0,35,0.8,1.1630269037934455,1.375,0.986893273527251
minirhizo,1995,220.0,40,0.625,0.758721223333605,0.875,0.5153882032022076
minirhizo,1995,220.0,45,0.725,0.9662052740380521,0.3333333333333333,0.18633899812498247
minirhizo,1995,220.0,50,1.225,1.4186260959111108,0.9583333333333334,0.7557648811340439
minirhizo,1995,220.0,55,1.425,1.5917137404630735,1.0416666666666667,0.6833841444523635
minirhizo,1995,220.0,60,1.8,1.3317973609098028,1.0833333333333333,0.8374896350934075
minirhizo,1995,220.0,65,1.275,1.437056567761815,0.625,0.625
minirhizo,1995,220.0,70,0.85,1.1367080817685316,0.7916666666666666,0.44292274219727706
minirhizo,1995,220.0,75,0.3684210526315789,0.43595696981716414,0.4583333333333333,0.5480394349152461
minirhizo,1995,220.0,80,0.8055555555555556,1.1522214974061922,0.20833333333333334,0.1717960677340692
minirhizo,1995,220.0,85,0.8888888888888888,1.1318329168362207,0.25,0.28867513459481287
minirhizo,1995,220.0,90,0.6578947368421053,1.1553334244439684,0.375,0.23935677693908453
minirhizo,1995,220.0,95,0.6842105263157895,0.869395165167356,0.375,0.625
minirhizo,1995,220.0,100,0.5263157894736842,0.611775290321498,0.08333333333333333,0.11785113019775792
minirhizo,1995,220.0,105,0.3684210526315789,0.6633690372124431,0.041666666666666664,0.09316949906249124
minirhizo,1995,220.0,110,0.3333333333333333,0.5940885257860046,0.0,0.0
minirhizo,1995,220.0,115,0.23684210526315788,0.6317616694747663,0.0,0.0
minirhizo,1995,220.0,120,0.2777777777777778,0.5745131499601416,0.0,0.0
